Time CaSSavg CaJSRavg JRyRtot PRyR_open PRyR_ready PNorm_mode PnotVinact PLType_open CaToT2 PIto2_open CaJSRtot CaSStot 
1.26 0.000454406 0.601017 5.14485e-06 0.0012 0.231 0.734 0.69 0 6.99687 0.002 0.000683549 2.00106 
1.261 0.000464533 0.601582 5.93776e-06 0.0014 0.2318 0.742 0.69 0 6.99626 0.002 0.000685919 2.00211 
1.262 0.000471229 0.602137 6.78402e-06 0.0016 0.2326 0.745 0.69 0 6.99564 0.002 0.000684323 2.00313 
1.263 0.000475364 0.60268 7.7347e-06 0.0018 0.2328 0.749 0.691 0 6.99503 0.008 0.000686456 2.00414 
1.264 0.000479892 0.603212 7.68062e-06 0.0018 0.2338 0.759 0.691 0 6.99442 0.002 0.000687997 2.00512 
1.265 0.000480597 0.60374 7.73036e-06 0.0018 0.2344 0.763 0.692 0 6.99381 0.004 0.000688339 2.00609 
1.266 0.000488101 0.604265 8.56397e-06 0.002 0.235 0.767 0.692 0 6.99321 0.004 0.000687796 2.00705 
1.267 0.000495988 0.604777 9.43039e-06 0.0022 0.2356 0.771 0.693 0 6.9926 0.006 0.000692714 2.00799 
1.268 0.000476094 0.605298 7.72318e-06 0.0018 0.236 0.775 0.693 0 6.992 0.001 0.000686985 2.00895 
1.269 0.000464225 0.60583 6.88327e-06 0.0016 0.2366 0.776 0.694 0 6.99141 0.002 0.000681313 2.00992 
1.27 0.000472349 0.606358 7.74061e-06 0.0018 0.2378 0.78 0.695 0 6.99081 0.002 0.000681686 2.01089 
1.271 0.000464376 0.606884 6.83401e-06 0.0016 0.2392 0.783 0.698 0 6.99022 0.001 0.000676426 2.01185 
1.272 0.000452568 0.607423 5.81768e-06 0.0014 0.2402 0.788 0.7 0 6.98963 0.004 0.000667136 2.01283 
1.273 0.000455499 0.607957 6.7164e-06 0.0016 0.2408 0.789 0.7 0 6.98904 0.003 0.000666499 2.01381 
1.274 0.000452761 0.608496 6.55427e-06 0.0016 0.2414 0.788 0.701 0 6.98846 0.005 0.000659791 2.01479 
1.275 0.000459418 0.609027 7.31003e-06 0.0018 0.2422 0.791 0.701 0 6.98788 0.003 0.000656029 2.01575 
1.276 0.000457709 0.609549 7.25411e-06 0.0018 0.2432 0.796 0.702 0 6.9873 0.001 0.000653674 2.01669 
1.277 0.000455584 0.61007 7.2026e-06 0.0018 0.244 0.802 0.702 0 6.98672 0.003 0.000651296 2.01764 
1.278 0.000453557 0.61059 7.15481e-06 0.0018 0.245 0.803 0.702 0 6.98614 0.005 0.000649058 2.01857 
1.279 0.000442163 0.611116 6.3384e-06 0.0016 0.246 0.805 0.703 0 6.98557 0.004 0.000644866 2.01952 
1.28 0.000431283 0.611651 5.61605e-06 0.0014 0.2462 0.809 0.705 0 6.985 0.006 0.000640618 2.02049 
1.281 0.000429556 0.612184 5.60311e-06 0.0014 0.247 0.815 0.705 0 6.98444 0.001 0.000638322 2.02146 
1.282 0.000435173 0.612703 5.90317e-06 0.0014 0.2478 0.818 0.706 0 6.98387 0 0.000645177 2.0224 
1.283 0.000424275 0.613226 5.16876e-06 0.0012 0.2482 0.82 0.707 0 6.98331 0.004 0.000640583 2.02335 
1.284 0.000410617 0.613762 4.24838e-06 0.001 0.2492 0.823 0.71 0 6.98275 0.001 0.000631259 2.02432 
1.285 0.000417869 0.614288 5.27385e-06 0.0012 0.25 0.825 0.711 0 6.98219 0.001 0.000638217 2.02528 
1.286 0.000429533 0.614804 6.14735e-06 0.0014 0.2506 0.827 0.712 0 6.98164 0.001 0.00063737 2.02621 
1.287 0.00047313 0.615284 1.05938e-05 0.0024 0.2506 0.83 0.712 0 6.98109 0.003 0.000654052 2.02708 
1.288 0.000489136 0.615718 1.03815e-05 0.0024 0.251 0.839 0.712 0 6.98054 0.004 0.000662287 2.02787 
1.289 0.000499185 0.616161 1.20994e-05 0.0028 0.2522 0.842 0.715 0 6.97999 0.003 0.0006644 2.02866 
1.29 0.000500209 0.616589 1.20817e-05 0.0028 0.2526 0.845 0.715 0 6.97944 0.001 0.000667213 2.02943 
1.291 0.00049819 0.617022 1.19829e-05 0.0028 0.2532 0.847 0.715 0 6.9789 0.002 0.000665661 2.03021 
1.292 0.000489259 0.61746 1.10244e-05 0.0026 0.2538 0.848 0.716 0 6.97835 0.002 0.00066094 2.03099 
1.293 0.000474442 0.617916 1.02115e-05 0.0024 0.2544 0.85 0.717 0 6.97781 0.004 0.000653723 2.03181 
1.294 0.000464303 0.618379 9.35812e-06 0.0022 0.2552 0.851 0.717 0 6.97728 0.008 0.000647819 2.03263 
1.295 0.000460132 0.618848 9.32967e-06 0.0022 0.2568 0.853 0.717 0 6.97674 0.007 0.000643864 2.03347 
1.296 0.000458345 0.619316 9.30262e-06 0.0022 0.2576 0.855 0.717 0 6.97621 0.003 0.000641719 2.03431 
1.297 0.000466754 0.619776 1.02183e-05 0.0024 0.2578 0.859 0.719 0 6.97567 0.001 0.000646659 2.03513 
1.298 0.000466983 0.620229 1.01897e-05 0.0024 0.259 0.86 0.72 0 6.97514 0.003 0.000646283 2.03594 
